date,away_team,away_pitcher,away_score,home_score,home_win,home_team,home_pitcher,away_pitcher_games,home_pitcher_games,closing_total,away_ml_percent,home_ml_odds_percent
3/28/19,Los Angeles Angels,T CAHILL,0,4,W,Oakland Athletics,M FIERS,9,15,8.5,51.7,50.0
3/28/19,Pittsburgh Pirates,J TAILLON,3,5,W,Cincinnati Reds,L CASTILLO,5,19,8.5,49.3,52.4
3/28/19,Chicago White Sox,C RODON,3,5,W,Kansas City Royals,B KELLER,6,10,8.5,47.4,54.3
3/28/19,Arizona Diamondbacks,Z GREINKE,5,12,W,Los Angeles Dodgers,H RYU,33,13,7,39.4,62.3
3/28/19,Colorado Rockies,K FREELAND,6,3,L,Miami Marlins,J URENA,21,6,7.5,56.0,45.7
3/28/19,St Louis Cardinals,M MIKOLAS,4,5,W,Milwaukee Brewers,J CHACIN,31,11,9,48.6,53.1
3/28/19,Cleveland Indians,C KLUBER,0,2,W,Minnesota Twins,J BERRIOS,6,14,7,47.4,54.3
3/28/19,Baltimore Orioles,A CASHNER,2,7,W,New York Yankees,M TANAKA,22,16,8.5,22.9,78.8
3/28/19,Atlanta Braves,J TEHERAN,4,10,W,Philadelphia Phillies,A NOLA,32,18,8,37.5,64.2
3/28/19,San Francisco Giants,M BUMGARNER,0,2,W,San Diego Padres,E LAUER,33,13,7.5,45.6,56.1
3/28/19,Boston Red Sox,C SALE,4,12,W,Seattle Mariners,M GONZALES,24,15,7,66.9,34.8
3/28/19,Houston Astros,J VERLANDER,5,1,L,Tampa Bay Rays,B SNELL,34,10,6.5,55.6,46.1
3/28/19,Chicago Cubs,J LESTER,12,4,L,Texas Rangers,M MINOR,30,14,9.5,52.2,49.5
3/28/19,Detroit Tigers,J ZIMMERMANN,2,0,L,Toronto Blue Jays,M STROMAN,22,17,9,42.7,59.0
3/28/19,New York Mets,J DEGROM,2,0,L,Washington Nationals,M SCHERZER,31,16,6.5,47.8,53.9
3/29/19,Arizona Diamondbacks,R RAY,5,4,L,Los Angeles Dodgers,R STRIPLING,32,5,7,38.7,63.0
3/29/19,Colorado Rockies,G MARQUEZ,6,1,L,Miami Marlins,T RICHARDS,27,13,7,61.0,40.7
3/29/19,St Louis Cardinals,J FLAHERTY,9,5,L,Milwaukee Brewers,F PERALTA,32,3,8.5,52.2,49.5
3/29/19,Los Angeles Angels,M HARVEY,6,2,L,Oakland Athletics,M ESTRADA,10,2,8.5,51.5,50.2
3/29/19,San Francisco Giants,D HOLLAND,1,4,W,San Diego Padres,J LUCCHESI,6,15,7.5,40.5,61.2
3/29/19,Boston Red Sox,N EOVALDI,7,6,L,Seattle Mariners,Y KIKUCHI,11,14,8,57.1,44.6
3/29/19,Houston Astros,G COLE,2,4,W,Tampa Bay Rays,C MORTON,34,17,7,57.6,44.1
3/29/19,Detroit Tigers,M BOYD,0,6,W,Toronto Blue Jays,M SHOEMAKER,30,1,9,47.8,53.9
3/30/19,Chicago White Sox,RE LOPEZ,6,8,W,Kansas City Royals,J JUNIS,32,16,7.5,44.6,57.1
3/30/19,Arizona Diamondbacks,Z GODLEY,5,18,W,Los Angeles Dodgers,K MAEDA,8,11,7.5,35.1,66.6
3/30/19,Colorado Rockies,T ANDERSON,3,7,W,Miami Marlins,P LOPEZ,8,10,7.5,55.2,46.5
3/30/19,St Louis Cardinals,DAK HUDSON,2,4,W,Milwaukee Brewers,B WOODRUFF,32,12,9,44.6,57.1
3/30/19,Cleveland Indians,T BAUER,2,1,L,Minnesota Twins,J ODORIZZI,33,15,7,53.9,47.8
3/30/19,Baltimore Orioles,N KARNS,5,3,L,New York Yankees,J PAXTON,1,15,8.5,22.4,79.3
3/30/19,Los Angeles Angels,F PENA,2,4,W,Oakland Athletics,B ANDERSON,6,14,8.5,48.4,53.3
3/30/19,Atlanta Braves,B WILSON,6,8,W,Philadelphia Phillies,N PIVETTA,3,8,9.5,43.2,58.5
3/30/19,San Francisco Giants,D RODRIGUEZ,3,2,L,San Diego Padres,N MARGEVICIUS,15,6,7.5,45.8,55.9
3/30/19,Boston Red Sox,E RODRIGUEZ,5,6,W,Seattle Mariners,M LEAKE,31,14,8.5,61.5,40.2
